1;bn:00048043n;bn:00021475n;bn:00047172n;bn:00013447n;bn:00081305n
2;bn:00049910n;bn:00032768n;bn:00046516n;bn:00046705n;bn:00024712n;bn:00077270n
3;bn:00044268n;bn:00053823n;bn:00051845n;bn:00021497n
4;bn:00021464n;bn:00036202n;bn:00033729n;bn:00036821n;bn:00058285n;bn:00048655n;bn:00030862n;bn:00044916n;bn:00021221n;bn:00025333n
5;bn:00020452n;bn:00069670n;bn:00029239n;bn:00072762n;bn:00091136v;bn:03130550n;bn:00026980n;bn:00029676n;bn:00061984n;bn:00065026n;bn:00005927n;bn:00072574n;bn:00010543n;bn:00062182n;bn:01187943n
6;bn:00021493n;bn:00072947n;bn:00021547n;bn:00079165n;bn:01157392n;bn:00025314n;bn:00058448n;bn:01165400n
7;bn:00020358n;bn:00021494n;bn:00070404n;bn:00012681n;bn:00050969n;bn:00014395n
8;bn:00028018n;bn:00016413n;bn:00045087n;bn:00051427n;bn:00059480n;bn:00182120n;bn:00047009n;bn:00062118n;bn:00081546n;bn:00114778r;bn:00056996n;bn:03288118n;bn:00050161n;bn:00047705n;bn:00056443n;bn:00021480n;bn:00009676n;bn:00009677n
