bn:00088941v;865;873;récupérer;1.0;3.442017917424269e-06;0.006535947712418301
bn:00019763n;875;880;client;0.0;0.0;0.0
bn:03268781n;902;906;rouen;0.7320125130344108;0.0003020370722539796;0.08496732026143791
bn:00103006a;908;914;premier;0.0;0.0;0.0
bn:00032100n;916;922;exemple;0.0;0.0;0.0
bn:00084976v;924;928;coder;0.8414239482200647;0.00011186558231628875;0.042483660130718956
bn:00032604n;930;933;côté;0.0;0.0;0.0
bn:03816678n;930;941;côté serveur;1.0;0.00031666564840303275;0.07516339869281045
bn:00044916n;935;941;serveur;0.8167850011093855;0.006335464229259046;0.3104575163398693
bn:02338897n;948;951;head;0.0;0.0;0.0
bn:00060158n;959;962;page;0.0;0.0;0.0
bn:00101917a;964;972;dynamique;0.0;0.0;0.0
bn:02338897n;980;983;head;0.0;0.0;0.0
bn:00011776n;985;988;body;0.0;0.0;0.0
bn:02592230n;990;998;echo echo;1.0;4.302522396780336e-07;0.0032679738562091504
bn:00029621n;995;998;echo;0.0;0.0;0.0
bn:00025336n;1000;1003;date;0.0;0.0;0.0
bn:00011776n;1005;1008;body;0.0;0.0;0.0
bn:03268781n;1035;1039;rouen;0.7320125130344108;0.0003020370722539796;0.08496732026143791
bn:00103006a;1041;1047;premier;0.0;0.0;0.0
bn:00032100n;1049;1055;exemple;0.0;0.0;0.0
bn:00021961n;1057;1064;résultat;0.0;0.0;0.0
bn:00110607a;1066;1069;côté;1.0;4.302522396780336e-07;0.0032679738562091504
bn:02338897n;1083;1086;head;0.0;0.0;0.0
bn:00060158n;1094;1097;page;0.0;0.0;0.0
bn:00111112a;1099;1106;statique;0.9281767955801105;7.228237626590965e-05;0.0392156862745098
bn:02338897n;1114;1117;head;0.0;0.0;0.0
bn:00011776n;1119;1122;body;0.0;0.0;0.0
bn:00011776n;1124;1127;body;0.0;0.0;0.0
bn:03268781n;1154;1158;rouen;0.7320125130344108;0.0003020370722539796;0.08496732026143791
bn:00033702n;1160;1166;mélange;0.0;0.0;0.0
bn:00020945n;1195;1205;instruction;0.0;0.0;0.0
bn:00084711v;1207;1211;finir;0.0;0.0;0.0
bn:00020978n;1213;1223;commentaire;0.8758791890773686;0.0018216879827967945;0.1895424836601307
bn:00099315a;1237;1242;manuel;0.955249569707401;0.00047757998604261735;0.09803921568627451
bn:00100162a;1244;1250;complet;0.0;0.0;0.0
bn:00103321a;1252;1259;français;1.0;0.00012434289726695173;0.05555555555555555
bn:00045088n;1261;1264;http;0.9426229508196722;0.0017812442722670593;0.1503267973856209
bn:00062766n;1310;1313;plan;0.0;0.0;0.0
bn:00008786n;1324;1327;base;0.0;0.0;0.0
bn:14352118n;1329;1338;formulaire;0.0;0.0;0.0
bn:00021475n;1340;1346;fichier;0.9721845859568025;0.010496433639185308;0.34967320261437906
bn:00024131n;1348;1354;cookies;0.0;0.0;0.0
bn:00070689n;1356;1362;session;0.0;0.0;0.0
bn:03268781n;1395;1399;rouen;0.7320125130344108;0.0003020370722539796;0.08496732026143791
bn:00113501a;1401;1408;variable;0.0;0.0;0.0
bn:00113501a;1410;1417;variable;0.0;0.0;0.0
bn:13647781v;1419;1426;préfixer;0.0;0.0;0.0
bn:00088421v;1428;1433;suivre;0.0;0.0;0.0
bn:00066933n;1435;1439;règle;0.0;0.0;0.0
